spUTCTime,spClockTime,price
2025-03-20 06:00:00+00:00,2025-03-20 06:00:00+00:00,13.4
2025-03-20 06:30:00+00:00,2025-03-20 06:30:00+00:00,13.4
2025-03-20 07:00:00+00:00,2025-03-20 07:00:00+00:00,14.2
2025-03-20 07:30:00+00:00,2025-03-20 07:30:00+00:00,13.4
2025-03-20 08:00:00+00:00,2025-03-20 08:00:00+00:00,8.888
2025-03-20 08:30:00+00:00,2025-03-20 08:30:00+00:00,13.4
2025-03-20 09:00:00+00:00,2025-03-20 09:00:00+00:00,12.0
2025-03-20 09:30:00+00:00,2025-03-20 09:30:00+00:00,8.202
2025-03-20 10:00:00+00:00,2025-03-20 10:00:00+00:00,8.202
2025-03-20 10:30:00+00:00,2025-03-20 10:30:00+00:00,8.211
2025-03-20 11:00:00+00:00,2025-03-20 11:00:00+00:00,8.211
2025-03-20 11:30:00+00:00,2025-03-20 11:30:00+00:00,8.15
2025-03-20 12:00:00+00:00,2025-03-20 12:00:00+00:00,8.15
2025-03-20 12:30:00+00:00,2025-03-20 12:30:00+00:00,8.211
2025-03-20 13:00:00+00:00,2025-03-20 13:00:00+00:00,10.59
2025-03-20 13:30:00+00:00,2025-03-20 13:30:00+00:00,8.120999999999999
2025-03-20 14:00:00+00:00,2025-03-20 14:00:00+00:00,8.120999999999999
2025-03-20 14:30:00+00:00,2025-03-20 14:30:00+00:00,8.15
2025-03-20 15:00:00+00:00,2025-03-20 15:00:00+00:00,8.152
2025-03-20 15:30:00+00:00,2025-03-20 15:30:00+00:00,8.152
2025-03-20 16:00:00+00:00,2025-03-20 16:00:00+00:00,11.894003168137587
2025-03-20 16:30:00+00:00,2025-03-20 16:30:00+00:00,15.0
2025-03-20 17:00:00+00:00,2025-03-20 17:00:00+00:00,10.222866344605475
2025-03-20 17:30:00+00:00,2025-03-20 17:30:00+00:00,15.807013333333334
2025-03-20 18:00:00+00:00,2025-03-20 18:00:00+00:00,15.866
2025-03-20 18:30:00+00:00,2025-03-20 18:30:00+00:00,15.8
2025-03-20 19:00:00+00:00,2025-03-20 19:00:00+00:00,14.7
2025-03-20 19:30:00+00:00,2025-03-20 19:30:00+00:00,12.277432389636138
2025-03-20 20:00:00+00:00,2025-03-20 20:00:00+00:00,12.690000000000001
2025-03-20 20:30:00+00:00,2025-03-20 20:30:00+00:00,11.3
2025-03-20 21:00:00+00:00,2025-03-20 21:00:00+00:00,10.628
2025-03-20 21:30:00+00:00,2025-03-20 21:30:00+00:00,11.0
2025-03-20 22:00:00+00:00,2025-03-20 22:00:00+00:00,11.175
2025-03-20 22:30:00+00:00,2025-03-20 22:30:00+00:00,8.01
2025-03-20 23:00:00+00:00,2025-03-20 23:00:00+00:00,7.075
2025-03-20 23:30:00+00:00,2025-03-20 23:30:00+00:00,10.9
2025-03-21 00:00:00+00:00,2025-03-21 00:00:00+00:00,10.9
2025-03-21 00:30:00+00:00,2025-03-21 00:30:00+00:00,11.175
2025-03-21 01:00:00+00:00,2025-03-21 01:00:00+00:00,11.175
2025-03-21 01:30:00+00:00,2025-03-21 01:30:00+00:00,9.123999999999999
2025-03-21 02:00:00+00:00,2025-03-21 02:00:00+00:00,6.5
2025-03-21 02:30:00+00:00,2025-03-21 02:30:00+00:00,11.17
2025-03-21 03:00:00+00:00,2025-03-21 03:00:00+00:00,11.17
2025-03-21 03:30:00+00:00,2025-03-21 03:30:00+00:00,11.171
2025-03-21 04:00:00+00:00,2025-03-21 04:00:00+00:00,11.175
2025-03-21 04:30:00+00:00,2025-03-21 04:30:00+00:00,8.821
2025-03-21 05:00:00+00:00,2025-03-21 05:00:00+00:00,9.233
2025-03-21 05:30:00+00:00,2025-03-21 05:30:00+00:00,11.17
2025-03-21 06:00:00+00:00,2025-03-21 06:00:00+00:00,11.14
2025-03-21 06:30:00+00:00,2025-03-21 06:30:00+00:00,6.644
2025-03-21 07:00:00+00:00,2025-03-21 07:00:00+00:00,4.5
2025-03-21 07:30:00+00:00,2025-03-21 07:30:00+00:00,11.727
2025-03-21 08:00:00+00:00,2025-03-21 08:00:00+00:00,11.329
2025-03-21 08:30:00+00:00,2025-03-21 08:30:00+00:00,11.89
2025-03-21 09:00:00+00:00,2025-03-21 09:00:00+00:00,11.89
2025-03-21 09:30:00+00:00,2025-03-21 09:30:00+00:00,11.89
2025-03-21 10:00:00+00:00,2025-03-21 10:00:00+00:00,11.7
2025-03-21 10:30:00+00:00,2025-03-21 10:30:00+00:00,11.7
2025-03-21 11:00:00+00:00,2025-03-21 11:00:00+00:00,11.7
2025-03-21 11:30:00+00:00,2025-03-21 11:30:00+00:00,11.8
2025-03-21 12:00:00+00:00,2025-03-21 12:00:00+00:00,11.392
2025-03-21 12:30:00+00:00,2025-03-21 12:30:00+00:00,6.5489999999999995
2025-03-21 13:00:00+00:00,2025-03-21 13:00:00+00:00,6.039
2025-03-21 13:30:00+00:00,2025-03-21 13:30:00+00:00,4.500455096716918
2025-03-21 14:00:00+00:00,2025-03-21 14:00:00+00:00,4.746086486092656
2025-03-21 14:30:00+00:00,2025-03-21 14:30:00+00:00,-0.045
2025-03-21 15:00:00+00:00,2025-03-21 15:00:00+00:00,7.3260000000000005
2025-03-21 15:30:00+00:00,2025-03-21 15:30:00+00:00,11.8
2025-03-21 16:00:00+00:00,2025-03-21 16:00:00+00:00,12.25
2025-03-21 16:30:00+00:00,2025-03-21 16:30:00+00:00,12.5
2025-03-21 17:00:00+00:00,2025-03-21 17:00:00+00:00,12.6
2025-03-21 17:30:00+00:00,2025-03-21 17:30:00+00:00,12.684999999999999
2025-03-21 18:00:00+00:00,2025-03-21 18:00:00+00:00,12.6
2025-03-21 18:30:00+00:00,2025-03-21 18:30:00+00:00,12.7
